import time: self [us] | cumulative | imported package
import time:      1060 |      19872 |                                   urllib3._base_connection
import time:      1111 |       1111 |                                   urllib3._collections
import time:       980 |        980 |                                   urllib3._version
import time:        64 |         64 |                                         _heapq
import time:       583 |        646 |                                       heapq
import time:       875 |        875 |                                       _queue
import time:      1309 |       2829 |                                     queue
import time:      1677 |       1677 |                                           mimetypes
import time:       893 |       2569 |                                         urllib3.fields
import time:       822 |       3391 |                                       urllib3.filepost
import time:       200 |        200 |                                         brotlicffi
import time:       145 |        145 |                                         brotli
import time:       886 |        886 |                                               importlib.metadata._meta
import time:       794 |        794 |                                               importlib.metadata._collections
import time:       705 |        705 |                                               importlib.metadata._functools
import time:       394 |        394 |                                               importlib.metadata._itertools
import time:       722 |        722 |                                                     importlib.resources.abc
import time:      1240 |       1961 |                                                   importlib.resources._common
import time:       707 |        707 |                                                   importlib.resources._functional
import time:      1182 |       3848 |                                                 importlib.resources
import time:      2245 |       6093 |                                               importlib.abc
import time:      3749 |      12620 |                                             importlib.metadata
import time:       657 |      13276 |                                           urllib3.http2
import time:       993 |        993 |                                           urllib3.http2.probe
import time:       579 |        579 |                                           urllib3.util.ssl_match_hostname
import time:      2299 |      17145 |                                         urllib3.connection
import time:       183 |        183 |                                         backports
import time:      2003 |      19674 |                                       urllib3.response
import time:      2309 |      25373 |                                     urllib3._request_methods
import time:       504 |        504 |                                     urllib3.util.proxy
import time:      2511 |      31217 |                                   urllib3.connectionpool
import time:      1549 |       1549 |                                   urllib3.poolmanager
import time:      3093 |      59527 |                                 urllib3
import time:       897 |        897 |                                         ada92cb5d92a588d1b93__mypyc
import time:      2348 |       2348 |                                         charset_normalizer.constant
import time:       719 |        719 |                                           unicodedata
import time:      1443 |       2161 |                                         charset_normalizer.utils
import time:       997 |        997 |                                         charset_normalizer.models
import time:      1687 |       8089 |                                       charset_normalizer.cd
import time:        46 |         46 |                                       _multibytecodec
import time:      1929 |      10063 |                                     charset_normalizer.api
import time:       678 |        678 |                                     charset_normalizer.legacy
import time:       672 |        672 |                                     charset_normalizer.version
import time:       188 |        188 |                                     simplejson
import time:        69 |         69 |                                           _locale
import time:      1708 |       1777 |                                         locale
import time:      2379 |       4155 |                                       calendar
import time:      6407 |      10562 |                                     http.cookiejar
import time:      1751 |       1751 |                                     http.cookies
import time:      3868 |      27780 |                                   requests.compat
import time:      1560 |      29339 |                                 requests.exceptions
import time:       230 |        230 |                                 chardet
import time:       476 |        476 |                                       idna.idnadata
import time:       452 |        452 |                                       idna.intranges
import time:      1750 |       2677 |                                     idna.core
import time:       685 |        685 |                                     idna.package_data
import time:      1283 |       4644 |                                   idna
import time:       923 |       5567 |                                 requests.packages
import time:       515 |        515 |                                       certifi.core
import time:       800 |       1314 |                                     certifi
import time:       695 |       2008 |                                   requests.certs
import time:       439 |        439 |                                   requests.__version__
import time:       632 |        632 |                                   requests._internal_utils
import time:       795 |        795 |                                   requests._types
import time:      1713 |       1713 |                                   requests.cookies
import time:       834 |        834 |                                   requests.structures
import time:      1115 |       1115 |                                   importlib.resources._adapters
import time:       595 |        595 |                                       importlib.resources._itertools
import time:      1884 |       2479 |                                     importlib.resources.readers
import time:       918 |       3397 |                                   importlib.readers
import time:      3899 |      14828 |                                 requests.utils
import time:      1312 |       1312 |                                       requests.auth
import time:       806 |        806 |                                           stringprep
import time:      1047 |       1853 |                                         encodings.idna
import time:       628 |        628 |                                         requests.hooks
import time:       881 |        881 |                                         requests.status_codes
import time:      1720 |       5080 |                                       requests.models
import time:       600 |        600 |                                         urllib3.contrib
import time:       175 |        175 |                                         socks
import time:       707 |       1480 |                                       urllib3.contrib.socks
import time:      1562 |       9433 |                                     requests.adapters
import time:      1249 |      10681 |                                   requests.sessions
import time:       610 |      11291 |                                 requests.api
import time:      1769 |     122550 |                               requests
import time:       335 |        335 |                               tqdm
import time:       676 |        676 |                               pydicom.data.retry
import time:      1135 |     165135 |                             pydicom.data.download
import time:      1759 |     166894 |                           pydicom.data.data_manager
import time:      1043 |     167936 |                         pydicom.data
import time:      1111 |     192279 |                       pydicom.pixels.processing
import time:       659 |        659 |                           _gdcm
import time:       277 |        277 |                             swig_runtime_data4
import time:     20755 |      21031 |                           _gdcm._gdcmswig
import time:     11044 |      32734 |                         _gdcm.gdcmswig
import time:      4603 |      37337 |                       gdcm
import time:       591 |        591 |                               importlib.metadata._text
import time:      1037 |       1628 |                             importlib.metadata._adapters
import time:      3046 |       4674 |                           pylibjpeg._version
